name,sku,selling_price,original_price,currency,availability,color,category,source,breadcrumbs,description,brand,country,language,average_rating,reviews_count
Beach Shorts,FJ5089,40,,USD,InStock,Black,Clothing,adidas United States,Women/Clothing,Splashing in the surf. Making memories with your friends. Beach days are the best days. These shorts are made of stretchy woven fabric. An elastic waistband that features the adidas logo brings a sporty look to your day at the beach.,adidas,USA,en,4.5,35
Five Ten Kestrel Lace Mountain Bike Shoes,BC0770,150,,USD,InStock,Grey,Shoes,adidas United States,Women/Shoes,Lace up and get after it. The Five Ten Kestrel Lace Mountain Bike Shoes offer efficient pedal power with low-profile style. The wide platform is compatible with all clipless pedals and offers high-friction grip on and off the bike. You'll find the find comfort and versatility for extended trail rides and afterwork hot laps alike.,adidas,USA,en,4.8,4
Mexico Away Jersey,GC7946,70,,USD,InStock,White,Clothing,adidas United States,Kids/Clothing,"Clean and crisp, this adidas Mexico Away Jersey for juniors displays a design that began life in an artist's studio. Soft, quick-drying fabric keeps you comfortable. Standing out on the chest, a team badge lets fans show pride in their soccer team.",adidas,USA,en,4.9,42
Five Ten Hiangle Pro Competition Climbing Shoes,FV4744,160,,USD,InStock,Black,Shoes,adidas United States,Five Ten/Shoes,"The Hiangle Pro takes on the classic shape of the original Hiangle with the addition of a seamless outsole wrapping around the toes, allowing for maximum rubber contact when tackling the most challenging boulder problems.",adidas,USA,en,3.7,7
Mesh Broken-Stripe Polo Shirt,GM0239,65,,USD,InStock,Blue,Clothing,adidas United States,Men/Clothing,"Step up to the tee relaxed. This adidas golf polo shirt lets you focus on accurate drives and putts. Four-way stretch matches the body's natural movements. Breathable fabric keeps you comfortable spring, summer and fall. Recycled materials are one step towards reducing plastic waste.",adidas,USA,en,4.7,11
EQT Spikeless Golf Shoes,FX7449,110,,USD,InStock,Grey,Shoes,adidas United States,Women/Shoes,"Put comfort first. These adidas spikeless golf shoes combine a Bounce midsole and a Boost heel for a lightweight, responsive feel that helps you convert bogie's to birdies. They repel water to keep your feet dry through wet fairways. The versatile rubber outsole ensures easy transitions from your final putt to cold drinks at the clubhouse. Recycled materials are one step towards reducing plastic waste.",adidas,USA,en,4.9,30
Adicross Hybrid Shorts,GM5505,80,,USD,InStock,Black,Clothing,adidas United States,Men/Clothing,"On the golf course, comfort is an essential component of keeping your concentration locked in on each shot. Stay focused as the temperature heats up with these ultra-lightweight adidas shorts. Move naturally through your round from the first tee to the 18th green. Then head for the clubhouse feeling ready for whatever comes next.",adidas,USA,en,4.5,17
Tiro 21 Windbreaker,GP4975,60,,USD,InStock,Black,Clothing,adidas United States,Kids/Clothing,"You can't always be a force of nature in soccer training. So when the intensity drops and the winds pick up, this juniors' adidas Tiro 21 Windbreaker has you covered. Moisture-absorbing AEROREADY and a mesh lining keep you dry. The streamlined silhouette ensures nothing gets in the way of your ball skills on the touchline.,,This product is made with recycled content as part of our ambition to end plastic waste.",adidas,USA,en,4.5,16
Classic 3-Stripes Swimsuit,FS3923,40,,USD,InStock,Black,Clothing,adidas United States,Women/Clothing,"You can show your concern for the health of the oceans while you increase your fitness in the pool. This adidas swimsuit is designed for comfort and support. Soft and fully lined, it's made with yarn spun from recycled materials. Iconic 3-Stripes tape on the sides gives it a sporty and classic look.",adidas,USA,en,4.5,35
Tiro 21 Windbreaker,GP4967,65,,USD,InStock,Black,Clothing,adidas United States,Men/Clothing,"You can't always be a force of nature in soccer training. So when the intensity drops and the breeze picks up, this adidas Tiro 21 Windbreaker has you covered on the sidelines. Moisture-absorbing AEROREADY and a mesh lining help keep you dry while you're sheltering. The streamlined silhouette means you can stay mobile while you're waiting for the gusts to die down.",adidas,USA,en,4.8,66
